Period,Scenario,Season,Year,Month,Hour
1,1,winter,2017,12,230
1,1,spring,2019,4,362
1,1,summer,2015,8,347
1,1,fall,2018,9,78
1,1,peak,2015,0,0
2,1,winter,2019,12,58
2,1,spring,2018,4,380
2,1,summer,2017,7,115
2,1,fall,2017,10,246
2,1,peak,2017,0,0
3,1,winter,2019,1,679
3,1,spring,2016,5,92
3,1,summer,2019,8,669
3,1,fall,2016,11,486
3,1,peak,2019,0,0
4,1,winter,2017,2,27
4,1,spring,2015,4,242
4,1,summer,2017,7,264
4,1,fall,2017,10,568
4,1,peak,2016,0,0
5,1,winter,2015,2,9
5,1,spring,2015,4,234
5,1,summer,2019,8,347
5,1,fall,2018,10,475
5,1,peak,2018,0,0
6,1,winter,2015,1,270
6,1,spring,2015,4,472
6,1,summer,2015,8,137
6,1,fall,2017,10,552
6,1,peak,2015,0,0
7,1,winter,2016,2,604
7,1,spring,2017,5,236
7,1,summer,2018,7,195
7,1,fall,2018,11,502
7,1,peak,2018,0,0
8,1,winter,2017,12,297
8,1,spring,2016,3,273
8,1,summer,2015,6,478
8,1,fall,2019,10,67
8,1,peak,2016,0,0
